text,classification,topics,
"For events with endless possibilities, Shiraz Arena combines lavish excellence with breathtaking elegance. Able to accommodate up to Unlimited guests with 2 event spaces equipped with state of the art A/V and open concept, we are the Art of Hospitality.
One and only big place in Peshawar with all standards high for marriage ceremonies as they have 2 huge Hall's and a huge space for car parking. I recommend this place for marriage ceremonies. security wise this is a best place in the middle of the Peshawar cantt.
Its beautiful big Gathering Hall lot of parking facilities on roof top ... delecious food ... expensive but cost effective ... nice arrangements ...
4th Floor, Deans Trade Center? Islamia Rd, Peshawar Cantonment, Peshawar, Khyber Pakhtunkhwa
One and only big place in Peshawar with all standards high for marriage ceremonies as they have 2 huge Hall's and a huge space for car parking. I recommend this place for marriage ceremonies. security wise this is a best place in the middle of the Peshawar cantt
Best Marriage Hall in whole peshawar.
Everything is fabulous.
Amazing catering system.
Amazing staff.
only classic hall like international halls for event management or marriage ceremoney.",neutral,,
A nice and spacious place on the rooftop of deans plaza.,good,,
Excellent wedding hall and services,good,,
"The highest and nice place in the heart of Peshawar cantt, for mass gathering and hospitality.
I participated in Daraz Seller Iftar Dinner over here.",good,,
"Best Marriage Hall in whole peshawar.
Everything is fabulous.
Amazing catering system.
Amazing staff.
only classic hall like international halls for event management or marriage ceremoney.",neutral,,
Very amazing clean Hall like a British place really enjoyed beautiful view,good,,
"Shiraz Arena is on the top floor of a multi-storey building. Interestingly ... cars go all the way up to the top.
We had a beautiful evening: the food was very good, the building was extremely well-kept and clean. Very nice weather in the open: neither too cold, nor too hot. Just the Goldilocks right.
Great place for a wedding or other function",neutral,,
Easily one of the best banquet halls in the city. Huge halls. Beautiful interior decor. The stage setting is wonderful too.  Food quality is excellent. Seating capacity is huge with the arrangements to your liking. What I like the most is their parking lot ?? has its huge. Attached are some pictures of the view around.  Overall 8/10.,good,,
It was an amazing experience.,good,,
This is one of the fine hall for wedding in our opinion as we visit this place for a unknown wedding really enjoy it so from that sort of experience we highly recommend this place please also allow us for next time we shall be really thankful to stuff ??,neutral,,
I was invited in a relative's marriage function. It was a great experience of mine there. The service and quality of meals was very impressive ??. Also we drive through there. The place is wheelchair accessible and wheelchair parking is available. They provide the ground environment on the 4th floor which is really admirable.,good,,
"It has  the best banquet halls for gathering and the food is good, huge parking area ,",good,,
Needs to manage the car parking more efficiently otherwise the best shadi hall in town with great ambience and high quality and tasting food. One the days when all the halls are occupied and esp VIP guests are attending parking is a nightmare!!! I would suggest to work on parking management on such days,good,,
Have good staff and facilities I appreciate their service and staff,good,,
Very well location,neutral,,
Having a great experience on the occasion of rural youth summit from world bank,neutral,,
"Cool in summer hot in winter ??
Beautiful wedding Hall, amazing view",good,,
Very well managed place for events. Huge parking and excellent services,good,,
"Its one of the biggest n beautiful marquee in peshawar sadar area. Located on the top of Deans trade center, you can enter into it from only one side that is from state bank side. Hall is neat n clean and special washroom are neat n clean. Also shoes cleaning machine is installed in washroom for black n brown shoes cleaning. Huge parking facility is available. Overall its one of the best n good hall but staff at enterance gate is not very comparative.",neutral,,
Such a good gathering point,neutral,,
Discovery Gardens event in Peshawar its was a great experience re discover with master developers Falaknaz Group.,good,,
"Grand dinner at shreaz arena arrange by Peshawar chamber.
Love this place",good,,
Its one of the beautiful wedding hall in kp. Its setting area and halls are really amazing. Food quality is also great. Services has no match,good,,
Excellent food and good service.  Very pricey taking the advantage of the low competition,good,,
"Nice place with an excellent parking facility. It can be the best marriage hall of Peshawar, if the quality of food is improved and there is a separate entrance for ladies.",good,,
Expensive place for eating low quality foods,neutral,,
Best hotel in Peshawar . It has a grand hall.,good,,
Good place for family functions & Weddings.,good,,
